scenario,seed,space,frag,opp,batch_days,policy,revenue,acceptance_rate,occupancy,revpabd,mean_waste_m,rejected_value,sim_seconds,acc_small,acc_sail,acc_motor,acc_super
high,7,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1691637.0,0.6206,0.588,39.13,6.33,2513688.0,10.2,1.0,0.654,0.501,0.276
high,11,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1709678.0,0.6163,0.5994,39.55,6.14,2582937.0,10.0,1.0,0.64,0.501,0.274
high,7,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1830839.0,0.6601,0.623,42.35,5.01,2301527.0,10.0,1.0,0.678,0.546,0.424
high,11,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1830660.0,0.6551,0.63,42.35,5.05,2403737.0,10.1,0.998,0.666,0.552,0.398
high,7,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",2006798.0,0.7244,0.689,46.42,3.14,1933595.0,9.7,0.999,0.732,0.629,0.574
high,11,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",2011552.0,0.7211,0.6985,46.53,3.2,2027184.0,8.9,0.998,0.721,0.638,0.55
high,7,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",2131396.0,0.763,0.7259,49.31,2.25,1655334.0,8.8,0.994,0.757,0.689,0.673
high,11,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",2129607.0,0.7586,0.7344,49.26,2.3,1762483.0,8.6,0.983,0.752,0.694,0.644
high,7,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",2166664.0,0.7716,0.7295,50.12,1.82,1543935.0,8.3,0.977,0.754,0.717,0.709
high,11,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",2165670.0,0.7633,0.7343,50.1,1.86,1655261.0,8.3,0.955,0.749,0.712,0.691
high,7,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",2157920.0,0.7678,0.7264,49.92,1.73,1543167.0,8.2,0.976,0.743,0.721,0.712
high,11,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",2151841.0,0.7566,0.7306,49.78,1.76,1659315.0,8.2,0.952,0.733,0.711,0.703
low,7,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",1671792.0,0.9463,0.5034,38.67,1.74,294177.0,5.4,1.0,0.947,0.935,0.901
low,11,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",1662740.0,0.9392,0.5154,38.46,1.72,310274.0,5.5,1.0,0.939,0.919,0.906
low,7,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",1670187.0,0.9449,0.5029,38.64,1.72,295618.0,5.3,1.0,0.943,0.936,0.901
low,11,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",1658472.0,0.9378,0.5147,38.37,1.7,314061.0,5.7,1.0,0.937,0.917,0.906
low,7,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",1666404.0,0.9449,0.502,38.55,1.7,296546.0,5.9,1.0,0.942,0.937,0.903
low,11,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",1652049.0,0.9359,0.5127,38.22,1.67,315956.0,6.3,1.0,0.933,0.917,0.908
low,7,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",1663212.0,0.944,0.5011,38.48,1.68,298256.0,5.7,1.0,0.939,0.939,0.903
low,11,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",1652198.0,0.9349,0.5122,38.22,1.65,314524.0,6.1,1.0,0.929,0.919,0.908
low,7,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",1645019.0,0.9357,0.497,38.05,1.6,309448.0,6.0,1.0,0.927,0.928,0.903
low,11,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",1631912.0,0.9284,0.5076,37.75,1.6,329002.0,6.1,1.0,0.922,0.908,0.903
base,7,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",2028232.0,0.8429,0.6595,46.92,1.8,950287.0,8.3,1.0,0.839,0.798,0.772
base,11,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",1962108.0,0.8536,0.6322,45.39,1.77,925255.0,8.2,1.0,0.84,0.821,0.786
base,7,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",2026298.0,0.8427,0.6586,46.87,1.78,951818.0,7.9,1.0,0.835,0.803,0.772
base,11,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",1960814.0,0.8543,0.6318,45.36,1.76,924788.0,7.8,1.0,0.839,0.824,0.789
base,7,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",2018481.0,0.8401,0.657,46.69,1.74,955790.0,8.0,1.0,0.832,0.798,0.773
base,11,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",1960568.0,0.8546,0.6315,45.35,1.75,922231.0,7.6,1.0,0.839,0.823,0.792
base,7,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",2013249.0,0.8374,0.6556,46.57,1.7,957602.0,7.5,1.0,0.824,0.801,0.773
base,11,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",1953077.0,0.8508,0.6301,45.18,1.7,925426.0,8.0,1.0,0.831,0.822,0.792
base,7,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",2001117.0,0.8337,0.6513,46.29,1.63,958806.0,7.9,0.999,0.815,0.8,0.78
base,11,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",1939837.0,0.8438,0.6249,44.87,1.63,930155.0,7.6,0.997,0.818,0.822,0.787
high,7,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",2165961.0,0.7709,0.729,50.11,1.8,1543085.0,9.0,0.977,0.752,0.718,0.711
